threshold,9.721415964,N/A,N/A,N/A
tid,count,score,anomaly_win,template
1,1,10.820028253,1,"wtf is this shit i cant handle this mf"
2,1500,4.199288602,0,"printservice <NUM> document job <NUM> owned by <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>"
3,7837,2.546436455,0,"grouppolicy <NUM> the processing of group policy failed windows could not resolve the computer name computer lab ws01"
4,2294,3.774687311,0,"<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>"
5,6288,2.766618079,0,"printservice <NUM> document job <NUM> owned by <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>"
6,7590,2.578456820,0,"time service <NUM> the time service is now synchronizing the system time with the time source <IP> computer <*> <*>"
7,1465,4.222882551,0,"<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>"
8,99,6.908005248,0,"service control manager <NUM> the operating system <*> <*> <*> <*> <*> <*> <*> <*> <*>"
9,4849,3.026441450,0,"service control manager <NUM> the <*> service entered the <*> pending state computer lab <*> <PID>"
10,86,7.047267315,0,"dns client events <NUM> the operating system <*> <*> <*> <*> <*> <*> <*> <*> <*>"
11,282,5.867728536,0,"microsoft windows winlogon <NUM> the operating system <*> <*> <*> <*> <*> <*> <*> <*> <*>"
12,17,8.622803676,0,"kernel general <NUM> the operating system started at system time <TIMESTAMP> computer lab <*>"
13,9709,2.332263872,0,"<*> <NUM> the device device <*> <*> has a bad block computer <*> <*>"
14,7793,2.552065948,0,"user profile service <NUM> windows detected your registry file is still in use by other applications or services computer <*> <*> <*> <*> <*>"
15,7592,2.578193385,0,"schannel <NUM> a fatal alert was generated and sent to the remote endpoint this may result in termination of the connection computer <*> <*>"
16,7466,2.594926843,0,"tcpip <NUM> tcp <PATH> has reached the security limit imposed on the number of concurrent tcp connect attempts computer <*> <*> <*> <*>"
17,20,8.468652996,0,"printservice <NUM> document job <NUM> owned by <*> service was printed on canon g3010 via <*> computer lab <*>"
18,5,9.721415964,1,"printservice <NUM> document job <NUM> owned by <*> was printed on brother hl l2350dw via <*> computer lab ws01"
19,18703,1.676682750,0,"<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>"
20,7654,2.570061126,0,"service control manager <NUM> a timeout <NUM> milliseconds was reached while waiting for the <*> service to connect computer <*> <*> <*>"
21,377,5.578281238,0,"<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>"
22,699,4.962095099,0,"service control manager <NUM> the <*> service entered the <*> <*> <*> <*> <*> <*>"
23,7556,2.582945869,0,"dns client events <NUM> name resolution for the name <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>"
24,119,6.725683691,0,"dns client events <NUM> name resolution for the name <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>"
